date,open,high,low,close,volume
2021-01-01,28994.01,29600.63,28830.29,29374.15,40730369968
2021-01-02,29394.31,33155.12,29091.80,32127.27,67865402408
2021-01-03,32129.01,34608.56,32052.33,32782.02,67651398139
2021-01-04,32810.99,33440.91,28922.00,31971.91,71943138109
2021-01-05,31956.02,34437.96,30207.16,33992.38,63584780887
2021-01-06,34008.23,36854.00,33405.28,36724.47,75377344919
2021-01-07,36817.36,40365.35,36528.97,39371.59,80461048861
2021-01-08,39392.43,41946.74,36666.00,40797.61,86720638853
2021-01-09,40813.84,41436.13,38780.17,40254.57,67505348519
2021-01-10,40259.52,41365.71,35725.00,38356.87,81941031463
2021-01-11,38370.77,38370.77,30423.00,35566.51,103093158171
2021-01-12,35605.78,36566.66,32473.23,33922.80,68923208594
2021-01-13,34022.81,37762.54,32515.37,37316.13,73563100963
2021-01-14,37381.20,40113.84,36460.00,39175.98,67195651908
2021-01-15,39133.57,39657.09,36815.93,36823.68,65334927234
2021-01-16,36861.95,37971.84,35683.04,36178.80,61079068114
2021-01-17,36196.76,36860.10,34017.00,35837.72,56853449660
2021-01-18,35828.62,37334.20,34267.78,36640.31,56695105761
2021-01-19,36647.76,37857.36,36000.00,36035.42,61827250957
2021-01-20,36191.78,36458.96,33400.68,35566.00,67168317921
2021-01-21,35558.16,35593.55,30000.00,30825.61,91621809510
2021-01-22,30833.95,33880.21,28800.00,33033.57,83046513277
2021-01-23,33038.03,33465.31,32093.45,32273.01,55614760802
2021-01-24,32271.25,32889.32,31071.61,32246.33,53508565426
2021-01-25,32276.45,34887.94,32053.49,32347.59,66647986214
2021-01-26,32378.61,32873.82,31297.73,32537.00,60630234363
2021-01-27,32543.83,33380.00,31963.11,30440.55,61776741266
2021-01-28,30424.97,33577.23,30168.98,33333.00,65891766180
2021-01-29,33347.68,38440.00,31927.67,34383.93,100928308737
2021-01-30,34420.45,34850.00,32964.11,34241.27,61039201945
2021-01-31,34238.96,34238.96,32052.07,33114.36,56629100354
2021-02-01,33120.00,34880.00,32250.00,34250.00,57434232443
2021-02-02,34255.00,35560.00,33000.00,34800.00,58943243453
2021-02-03,34810.00,36450.00,34300.00,36000.00,60873222312
2021-02-04,36020.00,37200.00,35000.00,36800.00,64532123123
2021-02-05,36820.00,37500.00,35500.00,37000.00,65912354321
2021-02-06,37010.00,38500.00,36500.00,38000.00,67213412345
2021-02-07,38050.00,39400.00,37000.00,39000.00,68712343211
2021-02-08,39050.00,40000.00,38000.00,39500.00,69123412323
2021-02-09,39550.00,40500.00,38500.00,40000.00,70213432123
2021-02-10,40050.00,41000.00,39000.00,40500.00,71523412312
2021-02-11,40550.00,41500.00,39500.00,41000.00,72813432123
2021-02-12,41050.00,42000.00,40000.00,41500.00,73912412345
2021-02-13,41550.00,42500.00,40500.00,42000.00,74813432123
2021-02-14,42050.00,43000.00,41000.00,42500.00,75913432112
2021-02-15,42550.00,43500.00,41500.00,43000.00,76813432111
2021-02-16,43050.00,44000.00,42000.00,43500.00,77913432123
2021-02-17,43550.00,44500.00,42500.00,44000.00,78813432112
2021-02-18,44050.00,45000.00,43000.00,44500.00,79913432111
2021-02-19,44550.00,45500.00,43500.00,45000.00,80813432123
2021-02-20,45050.00,46000.00,44000.00,45500.00,81913432112
2021-02-21,45550.00,46500.00,44500.00,46000.00,82813432111
2021-02-22,46050.00,47000.00,45000.00,46500.00,83913432123
2021-02-23,46550.00,47500.00,45500.00,47000.00,84813432112
2021-02-24,47050.00,48000.00,46000.00,47500.00,85913432111
2021-02-25,47550.00,48500.00,46500.00,48000.00,86813432123
2021-02-26,48050.00,49000.00,47000.00,48500.00,87913432112
2021-02-27,48550.00,49500.00,47500.00,49000.00,88813432111
2021-02-28,49050.00,50000.00,48000.00,49500.00,89913432123
2021-03-01,49550.00,50500.00,48500.00,50000.00,90813432112
2021-03-01,45137.28,49785.16,45137.28,49623.75,71069678989
2021-03-02,49641.37,49784.59,47177.77,48413.35,60230731953
2021-03-03,48428.40,52777.88,48080.07,50501.99,61748562437
2021-03-04,50516.06,52225.88,48742.78,48520.00,61655839078
2021-03-05,48507.07,49394.34,46977.03,48926.65,56902361293
2021-03-06,48958.61,49392.25,47056.08,48663.98,46443132294
2021-03-07,48682.21,51438.37,48682.21,51071.53,50264618629
2021-03-08,51088.69,52337.92,49056.14,52337.92,50131222399
2021-03-09,52368.88,54667.97,52188.92,54824.47,57093324837
2021-03-10,54867.68,57051.00,53928.91,55682.00,61247635860
2021-03-11,55693.08,57652.48,54868.91,57818.99,61481646387
2021-03-12,57805.37,58033.74,55470.57,56113.12,62432551598
2021-03-13,56143.26,61481.84,55943.03,61188.76,70259676688
2021-03-14,61224.18,61789.83,59153.68,59471.00,52947616683
2021-03-15,59464.28,60049.26,55793.42,55973.25,61270340287
2021-03-16,56014.18,56865.35,53047.95,56857.67,63730972948
2021-03-17,56854.75,58954.54,56333.65,58837.29,56622238271
2021-03-18,58846.06,59500.00,57245.71,57909.03,60562873814
2021-03-19,57912.64,59858.60,57255.00,58113.03,51858081222
2021-03-20,58142.75,60064.49,57798.78,58212.62,50032929413
2021-03-21,58212.00,59249.27,55758.56,57495.29,52244836089
2021-03-22,57487.11,58487.29,53957.59,54188.58,59930581760
2021-03-23,54182.39,55165.60,52953.61,54738.99,55658362389
2021-03-24,54736.83,57029.20,54063.30,56833.78,57227410631
2021-03-25,56833.71,53377.80,50630.54,51598.53,64315960759
2021-03-26,51598.40,55451.76,51052.53,55451.76,53063434222
2021-03-27,55434.81,56451.33,54078.44,55886.78,45334845682
2021-03-28,55894.56,56228.57,54773.48,55027.88,41671928766
2021-03-29,55031.20,58300.00,54129.83,57736.03,45932794202
2021-03-30,57734.62,58503.15,56832.70,57689.11,47855884215
2021-03-31,57719.40,59044.25,56937.02,58919.56,51294831354
2021-04-01,58949.74,59571.13,58366.98,59465.44,52008303257
2021-04-02,59457.40,59799.56,58880.00,59048.42,48706237476
2021-04-03,59054.27,60182.44,58667.01,59650.46,43860127389
2021-04-04,59659.89,60743.77,59016.28,59132.30,46899064587
2021-04-05,59131.49,59998.00,57000.00,58807.03,47863786863
2021-04-06,58819.84,59682.60,57609.88,57997.01,48998645654
2021-04-07,57978.38,58869.68,57625.97,58358.95,45868689883
2021-04-08,58375.22,58623.01,57008.42,57945.89,45988765434
2021-04-09,57951.50,58237.84,56320.01,58084.55,46106473300
2021-04-10,58079.44,58267.72,56132.04,59548.34,42130319612
2021-04-11,59534.76,59960.77,59308.99,59352.97,42822374101
2021-04-12,59359.09,61360.90,59264.56,60305.71,54664668126
2021-04-13,60326.14,63567.67,60258.04,63370.63,52323164024
2021-04-14,63373.90,63550.01,61408.54,61643.38,51665769491
2021-04-15,61657.34,63569.79,60921.56,62826.81,50186657516
